region,title,view_num,danmu,upload_time,up_author,video_url
影视剪辑,【觉醒年代】辜鸿铭，刘师培，黄侃“高燃”，“我绝对不会出卖我的学生”“你们这些宵小之徒，其心可诛”“做人不可如此无耻”！,27.3万,1306,2021-05-10,关耳俏,www.bilibili.com/video/BV1z64y1C72C?from=search
绘画,觉醒年代_可爱的鲁迅🎬临摹原创：LOFTER变成狼的猫太太！,4.3万,13,2021-07-08,雯君来啦,www.bilibili.com/video/BV1H64y147TG?from=search
影视剪辑,【起风了】百万填词，影视混剪《觉醒年代》《长征》《建党伟业》《建国大业》《开国大典》,24.4万,488,2021-06-21,不应该是这样,www.bilibili.com/video/BV1Fv411H7hB?from=search
热点,【觉醒年代】震耳发聩的演讲,22.0万,1069,2021-04-13,小央视频,www.bilibili.com/video/BV13B4y1A73B?from=search
影视剪辑,【觉醒年代 | 陈独秀| 于和伟】据说真的有神，是一个孤家寡人。,3.2万,44,2021-06-26,灯灯灯开灯,www.bilibili.com/video/BV1Kb4y1C7vW?from=search
综艺,白玉兰颁奖典礼：最佳男主角《觉醒年代》于和伟,44.9万,2196,2021-06-11,开心九姨太,www.bilibili.com/video/BV1N5411u76m?from=search
日常,当我看到觉醒年代,42.2万,206,2021-06-01,伯爵狗,www.bilibili.com/video/BV1qU4y1V7xS?from=search
日常,觉醒年代后烈士陵园年轻人翻倍 有人送来神舟十二号照片告慰先烈,10.7万,97,2021-06-23,白鹿视频,www.bilibili.com/video/BV1Ao4y1C7Bn?from=search
人文历史,台大教授苑举正：我感触最深的大陆电视剧是《白鹿原》，看完《觉醒年代》后觉得实在太好看了,20.6万,807,2021-06-25,i旗米拉,www.bilibili.com/video/BV1jg41137oo?from=search
人文历史,【苑举正】《觉醒年代》和“我的觉醒”,56.3万,5615,2021-06-26,苑举正,www.bilibili.com/video/BV1qo4y1k7Xn?from=search
影视剪辑,【觉醒年代 | 陈延年 陈乔年 | 张晚意 马启越】少年自有少年狂 身似河山挺脊梁 | 他们披荆斩棘走出来的路 我们怎敢忘记,47.6万,704,2021-03-31,话痨鬼不是鬼,www.bilibili.com/video/BV1UU4y1a7Zw?from=search
社科·法律·心理,觉醒年代：那些倒在黎明前夜的新青年们,8.7万,947,2021-06-19,飞鱼君呐,www.bilibili.com/video/BV1jK4y197gm?from=search
影视剪辑,【觉醒年代｜鲁迅】先生，如今的社会是您所向往的了,99.3万,5980,2021-06-07,是rain呀,www.bilibili.com/video/BV1Eo4y127wS?from=search
影视剪辑,【双声道】【觉醒年代—鲁迅/曹磊】他不可能躲进小楼，不问春秋,91.3万,2056,2021-03-11,半米高,www.bilibili.com/video/BV1aU4y1p7n3?from=search
